Tweet,Score,Sentiment
b'Tweet b RT CHRIS EVANS FOLLOWED DYLAN O xe2 x80 x99BRIEN AFTER DYLAN SAID xe2 x80 x9cfuck you xe2 x80 x9d TO TRUMP LMAO DYLAN BETTER COMPLETE THAT MUTUAL Score None Sentiment None',0.4000000000000001,Positive
b'Tweet b RT Trump xe2 x80 x9cIvanka would be dynamite xe2 x80 x9d as UN Ambassador n nOH HELL FUCKING NO Score None Sentiment None',-0.6,Negative
b'Tweet b RT Trump xe2 x80 x9cOn behalf of our nation I want to apologize to Brett for the terrible pain amp suffering you xe2 x80 x99ve been forced to end xe2 x80 xa6 Score None Sentiment None',-0.65,Negative
b'Tweet b RT NEVER FORGET Nikki Haley DESPISED and even compared him to domestic terrorist DYLAN ROOF during the c xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT We are thrilled to support xe2 x81 xa6 xe2 x81 xa9 joined by xe2 x81 xa6 xe2 x81 xa9 xe2 x81 xa6 xe2 x81 xa6 xe2 x81 xa9 Freedom loving Americans xf0 x9f x87 xba xf0 x9f x87 xb8Donald T xe2 x80 xa6 Score None Sentiment None',0.6,Positive
b'Tweet b RT mariotti That would violate 5 U S C Section 3110 which prevents public officials like Trump from appointing family members xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Hate groups like the Nazis have been taken mainstream by the Republican Party and Trump Study 11 million white Americans xe2 x80 xa6 Score None Sentiment None',-0.4,Negative
b'Tweet b It s time for a change in representation for Eastern Washington Cathy cares about power amp her leade xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Working class voters rebellion after years of unrepentant Centrism amp Globalism caused HillaryClinton to lose t xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Former FBI lawyer Plot to record remove Trump not a joke FBI LAWYER PLOT TO REMOVE TRUMP xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT I xe2 x80 x99m having lunch with Michael Avenatti at the Vanity Fair Summit and he xe2 x80 x99s proposing a three round mixed ma xe2 x80 xa6 Score None Sentiment None',0.16666666666666666,Positive
b'Tweet b RT NOTE PROOF OF COLLUSION hardcover preorder is now only 19 89 Price drop just came through Book release is in about 3 xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Holy sheet that xe2 x80 x99s my brother protecting Trump in the suit right below the stage My brother has always been my hero n nPlease xe2 x80 xa6 Score None Sentiment None',0.2857142857142857,Positive
b'Tweet b RT Siskind Nope I will not calm down in any way I plan to remain fully enraged for the next 28 days and donate and volunteer and xe2 x80 xa6 Score None Sentiment None',-0.10185185185185186,Negative
b'Tweet b RT Trump calls Kavanaugh accusations a hoax made up fabricated This is another of those things where Trump says something xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT xe2 x80 x9cThat xe2 x80 x99s why she lost She doesn xe2 x80 x99t get it She never did xe2 x80 x9d xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 Love his candor via Score None Sentiment None',0.5,Positive
b'Tweet b RT Trump says he ll name a successor to Nikki Haley within the next 2 3 weeks maybe sooner Score None Sentiment None',0.0,Neutral
b'Tweet b RT Trump with the help of Sen Mitch McConnell plowed through to confirm Brett Kavanaugh Trump xe2 x80 x99s second Supreme Court nom xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT 15 C2K Corruption Criminality and the Kremlin There are Republicans who revel in these principles of the Trump admini xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT lol take it from trump he knows hired supporters Score None Sentiment None',0.8,Positive
b'Tweet b RT The Republican congressmen playing the victim on tv over the last couple days are in unity with Trump presiding over and xe2 x80 xa6 Score None Sentiment None',-0.037500000000000006,Negative
b'Tweet b RT A Senate Democrat Reportedly Outsourced Parts Of The Russia Probe To Operative Linked To Soros Fusion GPS xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Among the reasons Ivanka Trump won t be the UN Ambassador include criminal investigations ethics violations prospect of xe2 x80 xa6 Score None Sentiment None',-0.4,Negative
b'Tweet b Big props to fellow Blue Hen xe2 x81 xa6 xe2 x81 xa9 for his op ed in the xe2 x81 xa6 xe2 x81 xa9 based on his new book FOOTBALL FOR A B xe2 x80 xa6 Score None Sentiment None',0.04545454545454545,Positive
b'Tweet b Trump camp sought online manipulation plan from Israeli firm NYT via Score None Sentiment None',-0.2,Negative
b'Tweet b RT the latest AHCA proposal seems to weaken existing protections for people with pre existing conditions not strengthe xe2 x80 xa6 Score None Sentiment None',0.5,Positive
b'Tweet b You are the hate mongers We vote to expose the lies the anger the rigidity of your position We th xe2 x80 xa6 Score None Sentiment None',-0.75,Negative
b'Tweet b RT xe2 x80 x9cTo Brett thank you for having the courage to stay in there when a lot of people would quit I xe2 x80 x99m forever grateful to both Brett K xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT JUST IN Trump says he would consider Dina Powell for U N ambassador Score None Sentiment None',0.0,Neutral
b'Tweet b RT Donald Trump Jr His Girlfriend and Kid Rock to Stump for John James Score None Sentiment None',0.0,Neutral
b'Tweet b RT One of Trump s biggest tells is that he accuses other of doing the things he himself does He assumes everyone else us xe2 x80 xa6 Score None Sentiment None',-0.125,Negative
b'Tweet b RT Trump knows the best place to hide a crime is inside a scandal n Score None Sentiment None',1.0,Positive
b'Tweet b RT Heartbreaking President Trump clearly doesn xe2 x80 x99t hear this little girl xe2 x80 x99s cries What will it take for Republicans who cont xe2 x80 xa6 Score None Sentiment None',-0.04374999999999999,Negative
b'Tweet b RT Here is the apologizing to Kavanaugh for the pain and suffering he endured n nTrump then falsely clams Kavanaugh was xe2 x80 xa6 Score None Sentiment None',-0.4000000000000001,Negative
b'Tweet b Kanye West amp Donald Trump Speak On Chicago Gang Violence amp Prison Reform n nLink HERE xe2 xac x87 xef xb8 x8f xf0 x9f x91 x87 xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Top performing Kavanaugh posts on Facebook over the last 24 hours per come from n1 Fox News n2 Fox News n3 xe2 x80 xa6 Score None Sentiment None',0.25,Positive
b'Tweet b RT Rap Sheet 583 Acts Of Media Approved Violence And Harassment Against Trump Supporters Score None Sentiment None',0.0,Neutral
b'Tweet b RT Nikki Haley says she has talked with President Trump about leaving her position for months Business Insider Score None Sentiment None',0.0,Neutral
b'Tweet b RT I always knew Lindsey Graham was a fucking little bastard but I never realized the depths of his assholery until trump was xe2 x80 xa6 Score None Sentiment None',-0.1875,Negative
b'Tweet b RT Donald J Trump 45 following through on Top Platform Promise to Build the Wall via Bill Sponsored by nKevin McCarthy xf0 x9f x91 x8f xf0 x9f x91 x8f xf0 x9f x91 x8f xf0 x9f x91 x8f nEx xe2 x80 xa6 Score None Sentiment None',0.25,Positive
b'Tweet b RT Donald Trump on women n n When you xe2 x80 x99re a star they let you do anything Grab them by the pussy anything n nVIDEO n nhttps xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT demands death penalty for cop killers Score None Sentiment None',0.0,Neutral
b'Tweet b RT These 5 were involved in the coup to take down the Trump presidency nThey all signed FISA warrants to wiretap his campai xe2 x80 xa6 Score None Sentiment None',-0.15555555555555559,Negative
b'Tweet b RT Taylor Swift inspired 65 000 people to register to vote says Score None Sentiment None',0.0,Neutral
b'Tweet b Now be honest MAGA Trump and most Repubs are radical Y xe2 x80 x99all are clear on which agenda you all want The xe2 x80 xa6 Score None Sentiment None',0.4000000000000001,Positive
b'Tweet b RT xe2 x80 x9cTo Brett thank you for having the courage to stay in there when a lot of people would quit I xe2 x80 x99m forever grateful to both Brett K xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT BREAKING President Trump offers Hillary Clinton a Space Force appointment xe2 x80 x94the first flight to Mars Score None Sentiment None',0.175,Positive
b'Tweet b You look fat next to Nicki Haley and your sweater is awful xe2 x80 xa6 Score None Sentiment None',-0.5,Negative
b'Tweet b blah blah blah paid protesters doing great things Trump Reality TV Score None Sentiment None',0.8,Positive
b'Tweet b RT looking at the tape of the protest it doesn t appear that there s that many people maybe xe2 x80 xa6 Score None Sentiment None',0.5,Positive
b'Tweet b RT Anthony Kennedy resigns just as his son is exposed in Trump Russia money laundering scandal n nMedia let xe2 x80 x99s ignore this t xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b Trump xe2 x80 x99s Attack Against Ford Mischaracterizes How Memory Works Experts Say PrescientInfo Score None Sentiment None',0.0,Neutral
b'Tweet b President Trump and his family systematically for decades committed tax fraud as documented by investigative repor xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT A female patriot got pushed down stairs punched in the face several times and got called a Nazi b tch xe2 x80 x9d simply because xe2 x80 xa6 Score None Sentiment None',-0.038888888888888896,Negative
b'Tweet b It s not the Military it s the Broader Wall ICE and Trump s commitment to Russia The way things stand right no xe2 x80 xa6 Score None Sentiment None',0.09285714285714285,Positive
b'Tweet b So Michael Avenatti wants to fight Donald Trump Jr in a 3 round mixed martial arts battle with all proceeds going t xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Exclusive tells me that President Trump xe2 x80 x99s ceremonial swearing in of now Justice Brett Kavanaugh last night xe2 x80 xa6 Score None Sentiment None',0.025,Positive
b'Tweet b I thought so at first but given the glamorous send off from Trump himself I doubt it The UN is a xe2 x80 xa6 Score None Sentiment None',0.25,Positive
b'Tweet b RT The BeersForBrett hashtag is the ultimate symbol of Trump s kingdom of spite Score None Sentiment None',0.0,Neutral
